20191029_construction_row_117,X000061,COMPLETED,Melbourne (CBD),41-43 Exhibition Street MELBOURNE VIC 3000,21,0,-37.81501688,144.9715755
20191029_construction_row_118,X001142,COMPLETED,Docklands,Flinders Wharf Apartments 40-66 Siddeley Street DOCKLANDS VIC 3008,19,0,-37.82287313,144.952474
20191029_construction_row_119,X000013,COMPLETED,Melbourne (CBD),YHA Melbourne Central 562-564 Flinders Street MELBOURNE VIC 3000,5,0,-37.82059587,144.9556322
20191029_construction_row_120,X000011,COMPLETED,Melbourne (CBD),550-554 Flinders Street MELBOURNE VIC 3000,30,0,-37.82038867,144.9559669
20191029_construction_row_121,X000010,COMPLETED,Melbourne (CBD),546-548 Flinders Street MELBOURNE VIC 3000,15,0,-37.82050212,144.9561483
20191029_construction_row_122,X000009,COMPLETED,Melbourne (CBD),532-536 Flinders Street MELBOURNE VIC 3000,26,0,-37.82024208,144.9564353
20191029_construction_row_123,X000017,COMPLETED,Melbourne (CBD),Q2 Tower 2-8 Queen Street MELBOURNE VIC 3000,12,0,-37.81858764,144.9627104
20191029_construction_row_124,X000019,COMPLETED,Melbourne (CBD),The Empire Apartments 256-268 Flinders Street MELBOURNE VIC 3000,14,0,-37.81760667,144.9656281
20191029_construction_row_125,X000031,COMPLETED,Melbourne (CBD),The Duke 142-148 Flinders Street MELBOURNE VIC 3000,3,0,-37.8164075,144.9700863
20191029_construction_row_126,X000032,COMPLETED,Melbourne (CBD),The Duke 142-148 Flinders Street MELBOURNE VIC 3000,9,0,-37.8164075,144.9700863
20191029_construction_row_127,X000027,COMPLETED,Melbourne (CBD),104-112 Flinders Street MELBOURNE VIC 3000,12,0,-37.81600514,144.9711552
20191029_construction_row_128,X000036,COMPLETED,Melbourne (CBD),96-98 Flinders Street MELBOURNE VIC 3000,5,0,-37.81590142,144.971475
20191029_construction_row_129,X000034,COMPLETED,Melbourne (CBD),82 Flinders Street MELBOURNE VIC 3000,27,0,-37.81587493,144.9719344
20191029_construction_row_130,X000991,COMPLETED,West Melbourne (Industrial),620-628 Footscray Road WEST MELBOURNE VIC 3003,2,0,-37.80594063,144.9158128
20191029_construction_row_131,X000289,COMPLETED,Melbourne (CBD),151-165 Franklin Street MELBOURNE VIC 3000,45,342,-37.8090435,144.9595688
20191029_construction_row_132,X000316,COMPLETED,Melbourne (CBD),58-64 Franklin Street MELBOURNE VIC 3000,11,0,-37.80741732,144.9608156
20191029_construction_row_133,X000677,COMPLETED,Kensington,1-13 Gatehouse Drive KENSINGTON VIC 3031,8,0,-37.79121717,144.9202883
20191029_construction_row_134,X000960,COMPLETED,Parkville,Royal Melbourne Hospital 300-328 Grattan Street PARKVILLE VIC 3050,0,0,-37.798639,144.9563397
20191029_construction_row_135,X000368,COMPLETED,Carlton,251-257 Cardigan Street CARLTON VIC 3053,4,0,-37.80077072,144.9651041
20191029_construction_row_136,X000434,COMPLETED,Parkville,University of Melbourne 156-292 Grattan Street PARKVILLE VIC 3010,0,0,-37.79675468,144.9612401
20191029_construction_row_137,X000435,COMPLETED,Parkville,University of Melbourne 156-292 Grattan Street PARKVILLE VIC 3010,6,0,-37.79675468,144.9612401
20191029_construction_row_138,X000642,COMPLETED,Kensington,16-28 Bent Street KENSINGTON VIC 3031,5,0,-37.7955797,144.9347421
20191029_construction_row_139,X000578,COMPLETED,West Melbourne (Residential),101-107 Hawke Street WEST MELBOURNE VIC 3003,4,0,-37.80771071,144.9467614
20191029_construction_row_140,X000542,COMPLETED,North Melbourne,3-11 High Street NORTH MELBOURNE VIC 3051,8,0,-37.79958363,144.9538188
20191029_construction_row_141,X000671,COMPLETED,Kensington,65-69 Hobsons Road KENSINGTON VIC 3031,1,0,-37.79641837,144.9169559
