20191029_bar_row_203,So'bar,2006,270 Russell Street,Melbourne (CBD),90,-37.81011116,144.9671591
20191029_bar_row_205,Hotel Lincoln,2006,91-95 Cardigan Street,Carlton,50,-37.80448528,144.9645057
20191029_bar_row_206,Fourth Watch,2008,26-32 King Street,Melbourne (CBD),222,-37.81952934,144.957466
20191029_bar_row_208,Belgian Beer Cafe Eureka,2008,3-7 Riverside Quay,Southbank,638,-37.82166549,144.9645668
20191029_bar_row_210,Basemint Louge Bar,2008,93-95 Queen Street,Melbourne (CBD),167,-37.81637876,144.9609695
20191029_bar_row_211,Jawa Bar,2008,297-307 Victoria Street,West Melbourne (Residential),40,-37.80562951,144.9513664
20191029_bar_row_213,The Trader Bar,2008,69-73 Collins Street,Melbourne (CBD),200,-37.8143446,144.9713489
20191029_bar_row_214,RACV City Club,2011,483-501 Bourke Street,Melbourne (CBD),410,-37.81587957,144.9595925
20191029_bar_row_217,The Meeting Place,2006,315-321 Elizabeth Street,Melbourne (CBD),250,-37.81124935,144.9614724
20191029_bar_row_220,Manchester Lane,2006,30-44 Manchester Lane,Melbourne (CBD),250,-37.81642646,144.9662007
20191029_bar_row_221,Watermark Bar,2008,788-812 Bourke Street,Docklands,300,-37.81888389,144.9451224
20191029_bar_row_222,Red Love Cocktail Bar Musicroom,2008,401-405 Swanston Street,Melbourne (CBD),110,-37.80904283,144.963217
20191029_bar_row_223,The big Group,2008,2 Swanston Street,Melbourne (CBD),350,-37.81784465,144.9699175
20191029_bar_row_224,FM Karaoke Bar,2008,146-150 Bourke Street,Melbourne (CBD),100,-37.81235798,144.9687387
20191029_bar_row_225,POD Nite Club,2008,590-592 Little Bourke Street,Melbourne (CBD),700,-37.81533836,144.9546987
20191029_bar_row_226,Eurotrash Cafeteria & Bar,2008,16-20 Corrs Lane,Melbourne (CBD),569,-37.81112914,144.9683854
20191029_bar_row_228,The Trust Bar,2008,21-31 Market Street,Melbourne (CBD),350,-37.81864585,144.9604206
20191029_bar_row_229,The Joint,2008,31-39 Elizabeth Street,Melbourne (CBD),329,-37.81741878,144.9643316
20191029_bar_row_230,Botanical Hotel,2006,161-173 Domain Road,South Yarra,245,-37.83431735,144.9816996
20191029_bar_row_231,Juliet's Champagne Bar,2008,338-352 Bourke Street,Melbourne (CBD),60,-37.81360425,144.9632879
20191029_bar_row_232,Nero Bar,2008,546-566 Collins Street,Melbourne (CBD),80,-37.81824465,144.9558446
20191029_bar_row_233,Rathdowne Tavern,2008,184 Rathdowne Street,Carlton,140,-37.79476659,144.9712295
20191029_bar_row_234,Three Degrees,2008,221 Little Lonsdale Street,Melbourne (CBD),775,-37.810658,144.9657034
20191029_bar_row_235,Kingpin Bowling,2006,8 Whiteman Street,Southbank,347,-37.82312164,144.9586604
20191029_bar_row_236,Clocks At Flinders Street Station,2006,207-361 Flinders Street,Melbourne (CBD),300,-37.81866105,144.9654659
