Long Room,2008,162-168 Collins Street,Melbourne (CBD),620,-37.81450301,144.9678476
Mai Tai Restaurant,2006,226-236 Russell Street,Melbourne (CBD),170,-37.81098272,144.9676444
Kivotos Cafe Bar,2002,312-318 Russell Street,Melbourne (CBD),250,-37.80932575,144.9668166
Hi Fi Bar & Ballroom,2002,125-133 Swanston Street,Melbourne (CBD),800,-37.81472467,144.9658102
Gin Palace,2002,188-194 Little Collins Street,Melbourne (CBD),150,-37.81390779,144.9675807
Velour,2002,121-123 Flinders Lane,Melbourne (CBD),350,-37.81567009,144.9705132
Troika Bar,2002,106 Little Lonsdale Street,Melbourne (CBD),60,-37.8091536,144.96859
The Oxford Scholar Hotel,2002,427-433 Swanston Street,Melbourne (CBD),486,-37.80846658,144.962901
Shanghai Club,2002,242-244 Little Bourke Street,Melbourne (CBD),209,-37.81213633,144.965603
Enka Karaoke Bar,2002,213-217 Russell Street,Melbourne (CBD),80,-37.81156167,144.9672365
Hollywood Karaoke Bar,2002,184-186 Bourke Street,Melbourne (CBD),150,-37.81267583,144.9676888
The Sherlock Holmes Inn,2002,415-417 Collins Street,Melbourne (CBD),70,-37.81746814,144.9608681
The Sen Bar,2002,231-233 Exhibition Street,Melbourne (CBD),120,-37.81051104,144.9695206
Holiday Inn On Flinders Melbourne,2002,24-40 Spencer Street,Melbourne (CBD),100,-37.82020482,144.9551524
The Kitchen Restaurant,2002,435-443 Little Collins Street,Melbourne (CBD),200,-37.81638558,144.9600859
Australia On Collins Bar,2002,258-274 Collins Street,Melbourne (CBD),11,-37.81536587,144.9648999
Grosvenor Tavern,2002,353 Little Collins Street,Melbourne (CBD),230,-37.81594942,144.9631329
The Carlton Hotel,2002,193-199 Bourke Street,Melbourne (CBD),200,-37.81320485,144.9676452
Melbourne International Backpackers,2002,442-450 Elizabeth Street,Melbourne (CBD),365,-37.8083077,144.9608588
Basement 407,2002,407-409 Swanston Street,Melbourne (CBD),150,-37.80895593,144.9631797
Connells Tavern,2002,31-39 Elizabeth Street,Melbourne (CBD),350,-37.81741878,144.9643316
Hosies Tavern,2002,1-5 Elizabeth Street,Melbourne (CBD),270,-37.81805666,144.964608
Embassy Bar,2002,2-20 Drewery Place,Melbourne (CBD),303,-37.81130304,144.9639703
Metropolitan On William Bar & Restaurant,2002,263-267 William Street,Melbourne (CBD),300,-37.81292397,144.9565837
Golden Age Hotel,2002,277-287 King Street,Melbourne (CBD),200,-37.81367535,144.9541999
Cheers Bar & Grill,2002,19-25 Little Bourke Street,Melbourne (CBD),350,-37.81074304,144.9719903
Jagulla,2002,244-246 Russell Street,Melbourne (CBD),200,-37.81047422,144.9673261
Mercat Cross Hotel,2002,143-151 Therry Street,Melbourne (CBD),230,-37.80792152,144.9583711
Sister Bellas,2011,22 Drewery Place,Melbourne (CBD),80,-37.81135,144.9638158
44 Bar,2002,42-44 Lonsdale Street,Melbourne (CBD),260,-37.80912054,144.971034
Rydges Melbourne Hotel,2006,174-192 Exhibition Street,Melbourne (CBD),100,-37.81121462,144.9706454
So'bar,2006,270 Russell Street,Melbourne (CBD),90,-37.81011116,144.9671591
Hotel Lincoln,2006,91-95 Cardigan Street,Carlton,50,-37.80448528,144.9645057
Fourth Watch,2008,26-32 King Street,Melbourne (CBD),222,-37.81952934,144.957466
Belgian Beer Cafe Eureka,2008,3-7 Riverside Quay,Southbank,638,-37.82166549,144.9645668
Basemint Louge Bar,2008,93-95 Queen Street,Melbourne (CBD),167,-37.81637876,144.9609695
Jawa Bar,2008,297-307 Victoria Street,West Melbourne (Residential),40,-37.80562951,144.9513664
The Trader Bar,2008,69-73 Collins Street,Melbourne (CBD),200,-37.8143446,144.9713489
RACV City Club,2011,483-501 Bourke Street,Melbourne (CBD),410,-37.81587957,144.9595925
The Meeting Place,2006,315-321 Elizabeth Street,Melbourne (CBD),250,-37.81124935,144.9614724
Manchester Lane,2006,30-44 Manchester Lane,Melbourne (CBD),250,-37.81642646,144.9662007
Watermark Bar,2008,788-812 Bourke Street,Docklands,300,-37.81888389,144.9451224
Red Love Cocktail Bar Musicroom,2008,401-405 Swanston Street,Melbourne (CBD),110,-37.80904283,144.963217
The big Group,2008,2 Swanston Street,Melbourne (CBD),350,-37.81784465,144.9699175
FM Karaoke Bar,2008,146-150 Bourke Street,Melbourne (CBD),100,-37.81235798,144.9687387
POD Nite Club,2008,590-592 Little Bourke Street,Melbourne (CBD),700,-37.81533836,144.9546987
Eurotrash Cafeteria & Bar,2008,16-20 Corrs Lane,Melbourne (CBD),569,-37.81112914,144.9683854
The Trust Bar,2008,21-31 Market Street,Melbourne (CBD),350,-37.81864585,144.9604206
The Joint,2008,31-39 Elizabeth Street,Melbourne (CBD),329,-37.81741878,144.9643316
Botanical Hotel,2006,161-173 Domain Road,South Yarra,245,-37.83431735,144.9816996
Juliet's Champagne Bar,2008,338-352 Bourke Street,Melbourne (CBD),60,-37.81360425,144.9632879
Nero Bar,2008,546-566 Collins Street,Melbourne (CBD),80,-37.81824465,144.9558446
Rathdowne Tavern,2008,184 Rathdowne Street,Carlton,140,-37.79476659,144.9712295
Three Degrees,2008,221 Little Lonsdale Street,Melbourne (CBD),775,-37.810658,144.9657034
Kingpin Bowling,2006,8 Whiteman Street,Southbank,347,-37.82312164,144.9586604
Clocks At Flinders Street Station,2006,207-361 Flinders Street,Melbourne (CBD),300,-37.81866105,144.9654659
Crown Plaza,2006,1-5 Spencer Street,Docklands,60,-37.8226581,144.9549939
Crown Promenade Hotel,2008,40-56 Queens Bridge Street,Southbank,150,-37.8238538,144.9597768
La Di Da,2008,188-202 King Street,Melbourne (CBD),450,-37.81551353,144.9556244
Melbourne Central Lion Hotel,2013,183-265 La Trobe Street,Melbourne (CBD),550,-37.81073331,144.9630189
Returned & Services League - Melbourne Sub-branch,2004,91-93 Flinders Lane,Melbourne (CBD),90,-37.81543506,144.9712228
Railway Hotel,2013,118-126 Ireland Street,West Melbourne (Residential),241,-37.80605366,144.9421177
Nomads Industry Backpackers,2008,196-200 A'Beckett Street,Melbourne (CBD),200,-37.80998494,144.9574447
December Entertainment,2011,118-122 Bourke Street,Melbourne (CBD),72,-37.81207418,144.969548
Bornga,2016,281-287 Swanston Street,Melbourne (CBD),40,-37.81143223,144.9643593
Mui Karaoke,2016,281-287 Swanston Street,Melbourne (CBD),243,-37.81143223,144.9643593
Tilt,2006,272 Russell Street,Melbourne (CBD),130,-37.81007187,144.9671371
Mack Daddy Soprano,2006,313-315 Flinders Lane,Melbourne (CBD),100,-37.81763918,144.9638507
Manchuria,2013,7-9 Waratah Place,Melbourne (CBD),80,-37.81162502,144.9669911
New Guernica,2011,318-322 Little Collins Street,Melbourne (CBD),380,-37.81488174,144.9640121
The Australian Club,2011,98-110 William Street,Melbourne (CBD),280,-37.81674542,144.9591218
Lavita Cafe On William,2011,170-176 William Street,Melbourne (CBD),50,-37.81492637,144.9582309
Workshop,2008,413-417 Elizabeth Street,Melbourne (CBD),230,-37.80918797,144.9605226
Silk Road on Collins,2011,419-429 Collins Street,Melbourne (CBD),911,-37.81752882,144.9606531
Rok's Cafe,2008,497-503 St Kilda Road,Melbourne (Remainder),280,-37.84331737,144.9790762
Sorry Grandma,2011,590-592 Little Bourke Street,Melbourne (CBD),700,-37.81533836,144.9546987
DANSK Restaurant,2011,428-432 Little Bourke Street,Melbourne (CBD),100,-37.81392392,144.9597229
Mrs Parma's,2008,19-25 Little Bourke Street,Melbourne (CBD),350,-37.81074304,144.9719903
Loop Project Space & Bar,2011,19-23 Meyers Place,Melbourne (CBD),152,-37.8121518,144.9721078
Chaise Lounge,2011,103-105 Queen Street,Melbourne (CBD),140,-37.81614776,144.9608476
Insignia on Flinders,2011,502-504 Flinders Street,Melbourne (CBD),100,-37.82005619,144.9576571
Cash Box Ktv,2008,22-26 Corrs Lane,Melbourne (CBD),200,-37.8109979,144.9683249
The Nixon Hotel Pty Ltd,2008,747-757 Bourke Street,Docklands,300,-37.81925128,144.9479753
Little Red Pocket,2013,422-428 Little Collins Street,Melbourne (CBD),200,-37.8159076,144.960326
Harbour Town Hotel,2011,23-37 Star Crescent,Docklands,498,-37.81315031,144.9378299
Sou Sol,2006,443 Little Collins Street,Melbourne (CBD),200,-37.81638558,144.9600859
Mitre Tavern,2006,5-9 Bank Place,Melbourne (CBD),300,-37.81680457,144.9603112
Whisky and Alement,2013,270 Russell Street,Melbourne (CBD),90,-37.81011116,144.9671591
Marrakech Bar,2011,435-443 Little Collins Street,Melbourne (CBD),200,-37.81638558,144.9600859
Melbourne Savage Club,2011,12-16 Bank Place,Melbourne (CBD),90,-37.81654467,144.9605765
Dikstein's Corner Bar,2011,433 Little Collins Street,Melbourne (CBD),145,-37.81631094,144.9603413
Karstens At CQ,2013,111-129 Queen Street,Melbourne (CBD),170,-37.81581152,144.9606367
Blue Diamond,2013,111-129 Queen Street,Melbourne (CBD),200,-37.81581152,144.9606367
Element Lounge,2013,85-91 Queen Street,Melbourne (CBD),230,-37.81649711,144.9610213
Karoke Box,2011,52 La Trobe Street,Melbourne (CBD),100,-37.80828608,144.9672465
Transport,2008,2 Swanston Street,Melbourne (CBD),900,-37.81784465,144.9699175
Zinc at Federation Square,2008,2 Swanston Street,Melbourne (CBD),1000,-37.81784465,144.9699175
Alluva Restaurant Bar Lounge,2008,457-471 Bourke Street,Melbourne (CBD),513,-37.81547268,144.9601886
FFour,2008,318-322 Little Collins Street,Melbourne (CBD),380,-37.81488174,144.9640121
Seamstress Pty Ltd,2008,113 Lonsdale Street,Melbourne (CBD),160,-37.81056538,144.9690111
The Mercant Cross Hotel,2011,143-151 Therry Street,Melbourne (CBD),1081,-37.80792152,144.9583711
Roo Bar,2011,167-175 Franklin Street,Melbourne (CBD),200,-37.80895967,144.9591538
The Mill,2008,67-73 Hardware Lane,Melbourne (CBD),119,-37.81323451,144.960908
Section 8 Bar Pty Ltd,2008,27-29 Tattersalls Lane,Melbourne (CBD),100,-37.81176167,144.9653899
The Toff In Town,2008,248-258 Swanston Street,Melbourne (CBD),345,-37.81199559,144.9652504
Rooftop Bar,2008,248-258 Swanston Street,Melbourne (CBD),200,-37.81199559,144.9652504
The Batman's Hill Hotel,2006,66-70 Spencer Street,Melbourne (CBD),1500,-37.81934371,144.9546555
The Press Club Restuarant & Bar Pty Ltd,2008,46-74 Flinders Street,Melbourne (CBD),90,-37.81546181,144.9727209
Escape City,2016,213-217 Russell Street,Melbourne (CBD),100,-37.81156167,144.9672365
Cohen Cellars Wine Bar,2013,166 Albert Street,East Melbourne,40,-37.81004657,144.9856254
Ondergronds Pty Ltd,2008,27-37 Russell Street,Melbourne (CBD),250,-37.81598754,144.9692478
Sen Karaoke Bar,2006,231-233 Exhibition Street,Melbourne (CBD),120,-37.81051104,144.9695206
